tc_customer_id,tc_loyalty_program_id,custom_data_product_differentiator,tc_min_created_at,tc_max_created_at,number_of_txns,customer_id,loyalty_program_id,selling_price_usd,cost_per_point_usd,transfer_ratio,start_date,end_date,type_of_partner,tier
60,AFFLYINGBLUE,Atlas,2024-06-09 03:45:06.947881,2024-07-28 08:30:09.138399,39,,,,,,,,,
60,AFFLYINGBLUE,Burgundy Private,2024-06-01 12:45:08.88635,2024-07-28 09:00:06.962101,38,60,AFFLYINGBLUE,0.0121,0.011,1.25,2023-09-01,3000-10-10,Ascenda Partner,Burgundy Private
60,AFFLYINGBLUE,HNI,2024-06-02 06:15:07.566618,2024-07-29 21:00:07.444466,61,60,AFFLYINGBLUE,0.0121,0.011,2.5,2023-09-01,3000-10-10,Ascenda Partner,HNI
60,AFFLYINGBLUE,Horizon,2024-07-18 08:45:11.631324,2024-07-29 10:30:09.12152,6,,,,,,,,,
60,AFFLYINGBLUE,IOCL,2024-07-28 04:15:10.068038,2024-07-28 04:15:10.068038,1,,,,,,,,,
60,AFFLYINGBLUE,Magnus Burgundy,2024-06-01 19:30:07.680103,2024-07-29 06:30:08.106653,250,60,AFFLYINGBLUE,0.0121,0.011,1.25,2023-09-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,AFFLYINGBLUE,Magnus Burgundy Private,2024-07-09 17:45:09.818072,2024-07-09 17:45:09.818072,1,,,,,,,,,
60,AFFLYINGBLUE,MILE,2024-06-01 20:30:09.60748,2024-06-03 13:00:08.584355,4,60,AFFLYINGBLUE,0.0121,0.011,0.5,2022-06-01,3000-10-10,Ascenda Partner,MILE
60,AFFLYINGBLUE,Non Magnus Burgundy,2024-06-24 07:45:07.223639,2024-07-29 23:00:06.859024,14,60,AFFLYINGBLUE,0.0121,0.011,1.25,2023-09-01,3000-10-10,Ascenda Partner,Non Magnus Burgundy
60,AFFLYINGBLUE,Olympus,2024-07-17 14:15:10.607696,2024-07-29 06:30:10.970676,5,,,,,,,,,
60,AFFLYINGBLUE,Primus,2024-07-20 19:30:08.177425,2024-07-29 05:30:08.926203,3,,,,,,,,,
60,AFFLYINGBLUE,RETAIL,2024-06-01 19:45:07.175478,2024-07-25 04:30:07.22912,3,60,AFFLYINGBLUE,0.0121,0.011,20,2022-08-26,3000-10-10,Ascenda Partner,RETAIL
